sale_def,bed,bath,area_heated,area,dist_cbd,dist_lakes,pool
115156,3,2,1241,7190,12784.97,2340.65,0
137057,4,2,1451,11177,8491.41,1167.12,0
89839,3,2,1268,7000,8904.39,207.56,0
220867,4,3,2494,10775,19498.69,6863.63,1
178573,4,2,2112,9183,18155.66,6436.11,1
122847,3,2,1315,7511,15632.85,507.28,0
81894,3,2,1597,7310,8140.89,201.42,0
289777,3,1.5,2234,10075,1681.76,107.48,1
133459,4,2,1810,5337,18704.18,1155.59,0
132990,2,1,990,14186,2955.29,255.41,0
438960,4,3,3122,15934,10520.34,373.46,1
97061,3,2,1057,7376,20772.63,462.79,0
132490,3,2,1555,11700,8106.67,583.64,0
109081,3,2,1264,5362,9882.01,404.9,0
133903,2,2,1312,6944,16729.12,2552.49,0
136051,3,2,1680,9183,8951.31,1826.68,0
205799,5,2,1992,12440,8653.89,180.58,0
176724,3,2,1823,9902,13065.83,306.89,0
92060,3,2,1476,10171,8889.28,1864.39,0
386209,4,3,2458,12864,2275.26,135.88,1
294740,4,3,2878,9750,22625.45,626.1,0
447343,4,4,3888,14928,18167.6,797.9,1
175612,3,2.5,1940,9203,14320.28,235.36,0
442349,4,4,3688,21785,13886.18,528.47,1
301658,3,2.5,2338,15745,19984.94,454.4,0
133797,3,2,1464,7400,7776.17,1680.82,0
143180,3,2,1565,5751,18260.63,5488.98,0
154699,3,2,1351,7642,28537.08,1358.06,1
80068,3,1,1025,5983,12497.92,444.23,0
132264,3,2,1408,12995,10741.32,225.58,0
127426,3,2,1260,7920,13487.69,1070.06,0
40313,2,1,1048,7836,15269.76,290.92,0
215147,3,2,1858,5594,17023.53,1478.43,0
167383,3,2,1691,5622,21126.19,546.5,0
75557,3,1.5,1120,14967,10225.99,72.76,0
121059,3,2,1782,6050,11119.22,743.49,0
164015,3,2,2092,11216,14944.37,502.72,0
145610,3,2,1832,9281,12795.99,222.69,1
180202,4,2,1976,34382,27111.44,1635.62,0
124387,3,2,1424,6632,19921.75,1915.93,0
222322,4,2.5,2047,8140,19537.11,5890.72,1
279090,3,2,1532,6604,2258.17,814.56,0
146570,3,2.5,1457,4401,19051.95,4001.37,1
146326,4,2,1682,8268,17395.33,5579.67,0
